config_id,mean_composite,trial_seconds,retriever,embedding_model,chunk_strategy,chunk_size,rerank_enabled,rerank_top_k,prompt_template,max_new_tokens,context_recall,answer_similarity,faithfulness,retrieval_coverage_proxy,groundedness,citation_quality,answer_relevancy,context_relevancy,signal_quality,composite_no_judge,judge_weight,judge_score,query_program_depth,query_rewrite_usage,decompose_branch_count,hyde_usage,metadata_filter_hit_rate,metadata_bonus_avg,entity_match_rate,rrf_fusion_gain,citation_completeness,citation_binding
cfg_00044,0.3126,3.7679,bm25,bge-small,semantic,384,False,5,standard,256,0.0,0.0,0.0,0.675,0.5516,0.125,0.2057,0.0473,0.65,0.3137,0.01,0.2,2.0,0.5,0.0,0.0,0.0,0.0067,0.0833,0.0,0.375,0.75
cfg_00054,0.3102,3.202,dense,bge-small,sentence,512,False,10,strict_no_hallucination,256,0.0,0.0,0.0,0.675,0.5283,0.125,0.2319,0.0473,0.65,0.3133,0.01,0.0,3.0,0.5,0.0,0.0,0.0,0.0067,0.0833,0.0,1.4583,0.75
cfg_00034,0.2861,3.064,dense,bge-small,sentence,512,False,10,strict_no_hallucination,256,0.0,0.0,0.0,0.6125,0.4622,0.125,0.2403,0.0484,0.65,0.2889,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5333,0.75
cfg_00004,0.2819,2.9715,bm25,bge-small,sentence,128,False,10,strict_no_hallucination,256,0.0,0.0,0.0,0.675,0.4209,0.125,0.2239,0.0473,0.65,0.2823,0.01,0.25,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.625
