config_id,mean_composite,trial_seconds,retriever,embedding_model,chunk_strategy,chunk_size,rerank_enabled,rerank_top_k,prompt_template,max_new_tokens,context_recall,answer_similarity,faithfulness,retrieval_coverage_proxy,groundedness,citation_quality,answer_relevancy,context_relevancy,signal_quality,composite_no_judge,judge_weight,judge_score,query_program_depth,query_rewrite_usage,decompose_branch_count,hyde_usage,metadata_filter_hit_rate,metadata_bonus_avg,entity_match_rate,rrf_fusion_gain,citation_completeness,citation_binding
cfg_00044,0.6281,14.1378,bm25,bge-small,semantic,384,False,5,standard,256,0.5905,0.8927,0.6046,0.0,0.0,0.0,0.2343,0.0691,1.0,0.6344,0.01,0.0,3.0,0.25,0.0,1.0,0.0,0.0033,0.0417,0.0,0.9911,1.0
cfg_00020,0.6225,0.0483,hybrid,bge-small,token,128,True,10,standard,128,0.6164,0.8954,0.5464,0.0,0.0,0.0,0.2395,0.0629,1.0,0.6262,0.01,0.25,1.0,0.0,0.0,0.0,0.0,0.0033,0.0417,0.031,0.7417,1.0
cfg_00001,0.5948,0.0035,bm25,e5-base,sentence,256,False,3,strict_no_hallucination,256,0.5705,0.9125,0.5213,0.0,0.0,0.0,0.2912,0.0691,1.0,0.6008,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
cfg_00069,0.5862,0.0023,bm25,bge-small,sentence,512,True,3,strict_no_hallucination,256,0.5458,0.892,0.5389,0.0,0.0,0.0,0.2577,0.1159,1.0,0.5921,0.01,0.0,3.0,0.25,0.0,0.0,0.0,0.0033,0.0417,0.0,0.175,0.5
cfg_00036,0.5799,0.0018,bm25,e5-base,token,384,True,5,standard,128,0.5446,0.9036,0.5082,0.0,0.0,0.0,0.2965,0.0806,1.0,0.5833,0.01,0.25,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.825,1.0
cfg_00004,0.5377,0.0017,bm25,bge-small,sentence,128,False,10,strict_no_hallucination,256,0.5705,0.9204,0.3439,0.0,0.0,0.0,0.3185,0.0691,1.0,0.5406,0.01,0.25,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.5
